id,name,pocket,category,in_shop,factor,purchase_cost,flavour_text
0,Small Cracker,0,0,0,1,200,Increases monster's Will by 1.
1,Cracker,0,0,1,2,300,Increases monster's Will by 2.
2,Large Cracker,0,0,1,5,500,Increases monster's Will to max.
3,Mini Motivator,0,1,0,1,500,"Revives monsters who have lost the Will to run, and gives them a Will of 1."
4,Mega Motivator,0,1,1,3,800,"Revives monsters who have lost the Will to run, and restores half their Will."
5,Max Motivator,0,1,1,5,1200,"Revives monsters who have lost the Will to run, and gives them maximum Will."
6,Bronze Ingot,0,8,2,0,3000,An ingot made of bronze. Can be sold at the shop for a high price.
7,Silver Ingot,0,8,2,0,8000,An ingot made of silver. Can be sold at the shop for a high price.
8,Gold Ingot,0,8,2,0,15000,An ingot made of gold. Can be sold at the shop for a high price.
9,Yellow Gumdrop,0,2,2,1,1000,Mysterious sweet that increases a monster's maximum Will.
10,Green Gumdrop,0,3,2,4,1000,Mysterious sweet that increases a monster's Thrust.
11,Blue Gumdrop,0,4,2,4,1000,Mysterious sweet that increases a monster's Speed.
12,Pink Gumdrop,0,5,2,4,1000,Mysterious sweet that increases a monster's Power.
13,Black Gumdrop,0,6,2,4,1000,Mysterious sweet that increases a monster's Spirit.
14,Rope Ladder,0,7,0,0,300,Can be used to escape from any field straight to the regional map.
15,Ocarina,0,9,0,30,600,"Puts wild monsters to sleep, and stops them moving briefly."
16,Master Ocarina,0,9,1,45,800,"Puts wild monsters to sleep, and stops them moving temporarily."
17,Legendary Ocarina,0,9,1,60,1000,"Puts wild monsters to sleep, and stops them moving for a long time."
18,Star Crystal,0,8,2,0,,A valuable crystal. Highly prized by certain collectors.
19,Warp Ladder,0,7,0,1,800,Can be used to escape from any field straight to Star City.
20,Vault Key,1,8,2,0,,A key rumored to open the vault in Phil T. Rich's house.
21,Treasure Chest Key,1,8,2,0,,A key which opens certain types of treasure chests.
22,Gold Card,1,8,2,0,,A brilliantly shining card. Only the truly wealthy are permitted to carry one.
