id,name,handbook_number,rank,loyalty_req,main_category,sub_category,factor,flavour_text
0,Nitro-boost,40,1,2,0,0,5,Increases length of Turbo a little.
1,Super-nitro,41,2,15,0,0,10,Increases length of Turbo.
2,Hyper-nitro,42,3,45,0,0,15,Increases length of Turbo a lot.
3,Hard Brake,49,1,5,0,1,0,Allows you to brake hard.
4,Quick Charge,43,1,2,0,2,11,Turbo Gauge fills a little more quickly.
5,Super Charge,44,2,15,0,2,12,Turbo Gauge fills more quickly.
6,Hyper Charge,45,3,45,0,2,13,Turbo Gauge fills very quickly.
7,Grass 1,20,1,10,1,0,0,Your monster can run a little faster on grass.
8,Grass 2,21,2,22,1,0,1,Your monster can run a lot faster on grass.
9,Grass 3,22,3,30,1,0,2,Your monster can run extremely quickly on grass.
10,Sand 1,23,1,10,1,1,0,Your monster can run a little faster on sand.
11,Sand 2,24,2,22,1,1,1,Your monster can run a lot faster on sand.
12,Sand 3,25,3,30,1,1,2,Your monster can run extremely quickly on sand.
13,Water 1,26,1,10,1,2,0,Your monster can run a little faster in water.
14,Water 2,27,2,22,1,2,1,Your monster can run a lot faster in water.
15,Water 3,28,3,30,1,2,2,Your monster can run extremely quickly in water.
16,Fire 1,29,1,10,1,3,0,Your monster will not get burned when falling into lava.
17,Fire 2,30,2,22,1,3,1,Your monster will not get burned and will not take as much damage when falling into lava.
18,Fire 3,31,3,30,1,3,2,Your monster will not get burned and will take very little damage when falling into lava.
19,Snow 1,32,1,10,1,4,0,Your monster will run a little faster in snow.
20,Snow 2,33,2,22,1,4,1,Your monster will run a lot faster in snow.
21,Snow 3,34,3,30,1,4,2,Your monster will run extremely quickly in snow.
22,Levitation,35,3,99,1,6,0,Your monster will not be affected by the terrain.
23,Stability,46,1,5,1,5,0,Your monster will be slightly less likely to slip on ice.
24,Stability +,47,2,13,1,5,1,Your monster will be less likely to slip on ice.
25,Surefoot,48,3,30,1,5,2,Your monster will be very unlikely to slip on ice.
26,Fire Bomb +,101,1,5,2,0,0,Increases fire bomb level by one (Multiplay skill).
27,Arrow +,102,1,10,2,1,0,Increases Speed arrow level by one (Multiplay skill).
28,Meat +,103,1,10,2,2,0,Increases meat level (to fill up Turbo Gauge) by one (Multiplay skill).
29,Star +,104,1,10,2,3,0,Increases invincibility star level by one (Multiplay skill).
30,Lightning +,105,1,5,2,4,0,Increases lightning level by one (Multiplay skill).
31,Homing +,106,1,5,2,5,0,Increases homing missile level by one (Multiplay skill).
32,Stealth +,107,1,7,2,6,0,Increases invisibility ball level by one (Multiplay skill).
34,All Items +,109,3,30,2,8,0,Increases level of all items on the course (Multiplay skill).
35,Steel Boots,115,2,13,3,0,0,No damage received from traps or spikes.
36,Rocksplitter,110,2,20,3,1,0,No damage received when hitting walls or rocks.
37,Icemelter,111,2,20,3,2,0,No damage received when hitting ice walls or snowballs.
38,Stump Breaker,112,2,20,3,3,0,No damage received when hitting stumps.
39,Meteoproof,113,2,20,3,4,0,No damage received when hit by a meteorite.
40,Mower,114,2,20,3,5,0,No damage received when hitting tumbleweed.
41,Quick Start,50,1,5,4,0,0,Small Speed increase after the start.
42,Flying Start,51,2,15,4,0,1,Medium Speed increase after the start.
43,Explosive Start,52,3,30,4,0,2,Large Speed increase after the start.
44,Max Turbo,119,3,45,4,1,0,Start race with full Turbo Gauge.
